,ORIGIN_STATE_ABR,DEST_STATE_ABR,PASSENGERS
1033,OH,TX,26941.0
1034,OH,UT,1382.0
1035,OH,VA,7.0
1036,OH,WA,1673.0
1037,OH,WI,1659.0
1038,OK,AZ,9160.0
1039,OK,CA,4602.0
1040,OK,CO,16435.0
1041,OK,DC,2956.0
1042,OK,FL,3040.0
1043,OK,GA,14851.0
1044,OK,IL,10051.0
1045,OK,MD,1047.0
1046,OK,MI,917.0
1047,OK,MN,1900.0
1048,OK,MO,5137.0
1049,OK,NC,5799.0
1050,OK,NV,5910.0
1051,OK,OK,158.0
1052,OK,PA,584.0
1053,OK,TN,2144.0
1054,OK,TX,54113.0
1055,OK,UT,2959.0
1056,OK,WA,1714.0
1057,OR,AK,6909.0
1058,OR,AZ,27402.0
1059,OR,CA,124043.0
1060,OR,CO,27284.0
