,ORIGIN_STATE_ABR,DEST_STATE_ABR,PASSENGERS
935,NY,PA,30675.0
936,NY,PR,24961.0
937,NY,RI,47.0
938,NY,SC,17357.0
939,NY,TN,21210.0
940,NY,TX,83073.0
941,NY,UT,17187.0
942,NY,VA,52984.0
943,NY,VI,2447.0
944,NY,VT,7548.0
945,NY,WA,15016.0
946,NY,WI,6531.0
947,NY,WY,291.0
948,OH,AL,5.0
949,OH,AR,22.0
950,OH,AZ,10869.0
951,OH,CA,13159.0
952,OH,CO,17665.0
953,OH,CT,447.0
954,OH,FL,108500.0
955,OH,GA,44050.0
956,OH,IL,45495.0
957,OH,KY,22.0
958,OH,LA,1078.0
959,OH,MA,7715.0
960,OH,MD,7104.0
961,OH,MI,10850.0
962,OH,MN,8063.0
963,OH,MO,5557.0
964,OH,MS,312.0
965,OH,MT,95.0
966,OH,NC,24053.0
967,OH,NJ,8492.0
968,OH,NM,17.0
969,OH,NV,12524.0
970,OH,NY,15955.0
971,OH,OH,942.0
972,OH,OK,3.0
973,OH,PA,8822.0
974,OH,SC,1397.0
975,OH,TN,6573.0
976,OH,TX,26941.0
977,OH,UT,1382.0
978,OH,VA,17016.0
979,OH,WA,1673.0
980,OH,WI,1659.0
981,OK,AZ,9160.0
982,OK,CA,4602.0
983,OK,CO,16435.0
984,OK,FL,3040.0
985,OK,GA,14851.0
986,OK,IL,10051.0
987,OK,MD,1047.0
988,OK,MI,917.0
989,OK,MN,1900.0
990,OK,MO,5137.0
991,OK,NC,5799.0
992,OK,NV,5910.0
993,OK,OK,158.0
994,OK,PA,584.0
995,OK,TN,2144.0
996,OK,TX,54113.0
997,OK,UT,2959.0
998,OK,VA,2956.0
999,OK,WA,1714.0
1000,OR,AK,6909.0
1001,OR,AZ,27402.0
1002,OR,CA,124043.0
1003,OR,CO,27284.0
1004,OR,FL,2556.0
1005,OR,GA,7899.0
1006,OR,HI,19271.0
1007,OR,ID,6177.0
1008,OR,IL,13591.0
1009,OR,MA,2013.0
1010,OR,MI,2096.0
1011,OR,MN,9621.0
1012,OR,MO,2584.0
1013,OR,MT,2964.0
1014,OR,NC,2744.0
1015,OR,NJ,4327.0
1016,OR,NM,997.0
1017,OR,NV,24782.0
1018,OR,NY,4879.0
