"PASSENGERS","DISTANCE","AIR_TIME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_NM","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEST_STATE_NM","AIRCRAFT_TYPE","MONTH","DISTANCE_GROUP",
1145.00,813.00,1405.00,12451,"JAX","Jacksonville, FL","FL","Florida",11433,"DTW","Detroit, MI","MI","Michigan","722",3,2,
1146.00,891.00,2299.00,12264,"IAD","Washington, DC","VA","Virginia",14635,"RSW","Fort Myers, FL","FL","Florida","888",3,2,
1146.00,417.00,1512.00,14831,"SJC","San Jose, CA","CA","California",14679,"SAN","San Diego, CA","CA","California","694",3,1,
1146.00,852.00,5932.00,14252,"PSC","Pasco/Kennewick/Richland, WA","WA","Washington",11292,"DEN","Denver, CO","CO","Colorado","629",3,2,
1146.00,1300.00,1453.00,14107,"PHX","Phoenix, AZ","AZ","Arizona",13495,"MSY","New Orleans, LA","LA","Louisiana","614",3,3,
1146.00,301.00,3664.00,13061,"LRD","Laredo, TX","TX","Texas",12266,"IAH","Houston, TX","TX","Texas","675",3,1,
1147.00,304.00,1472.00,14679,"SAN","San Diego, CA","CA","California",14107,"PHX","Phoenix, AZ","AZ","Arizona","614",3,1,
1147.00,781.00,1996.00,12191,"HOU","Houston, TX","TX","Texas",15304,"TPA","Tampa, FL","FL","Florida","614",3,2,
1147.00,838.00,1829.00,13296,"MHT","Manchester, NH","NH","New Hampshire",13232,"MDW","Chicago, IL","IL","Illinois","614",3,2,
1147.00,551.00,780.00,13495,"MSY","New Orleans, LA","LA","Louisiana",13204,"MCO","Orlando, FL","FL","Florida","699",3,2,
1147.00,993.00,4333.00,14100,"PHL","Philadelphia, PA","PA","Pennsylvania",14635,"RSW","Fort Myers, FL","FL","Florida","673",3,2,
1147.00,300.00,1430.00,10397,"ATL","Atlanta, GA","GA","Georgia",11953,"GNV","Gainesville, FL","FL","Florida","638",3,1,
1147.00,503.00,4220.00,11292,"DEN","Denver, CO","CO","Colorado",11695,"FLG","Flagstaff, AZ","AZ","Arizona","675",3,2,
1147.00,223.00,2372.00,11721,"FNT","Flint, MI","MI","Michigan",13930,"ORD","Chicago, IL","IL","Illinois","631",3,1,
1147.00,179.00,1933.00,12884,"LAN","Lansing, MI","MI","Michigan",13930,"ORD","Chicago, IL","IL","Illinois","629",3,1,
1148.00,717.00,2065.00,10257,"ALB","Albany, NY","NY","New York",13232,"MDW","Chicago, IL","IL","Illinois","614",3,2,
1148.00,1679.00,3559.00,14893,"SMF","Sacramento, CA","CA","California",15016,"STL","St. Louis, MO","MO","Missouri","612",3,4,
1148.00,1269.00,5294.00,12266,"IAH","Houston, TX","TX","Texas",14262,"PSP","Palm Springs, CA","CA","California","673",3,3,
1149.00,1519.00,3768.00,13851,"OKC","Oklahoma City, OK","OK","Oklahoma",14747,"SEA","Seattle, WA","WA","Washington","698",3,4,
1149.00,404.00,3313.00,11867,"GCK","Garden City, KS","KS","Kansas",11298,"DFW","Dallas/Fort Worth, TX","TX","Texas","676",3,1,
1149.00,862.00,4074.00,11292,"DEN","Denver, CO","CO","Colorado",12892,"LAX","Los Angeles, CA","CA","California","614",3,2,
1149.00,545.00,3876.00,13487,"MSP","Minneapolis, MN","MN","Minnesota",12278,"ICT","Wichita, KS","KS","Kansas","629",3,2,
1149.00,262.00,2688.00,14771,"SFO","San Francisco, CA","CA","California",14689,"SBA","Santa Barbara, CA","CA","California","629",3,1,
1149.00,86.00,922.00,14771,"SFO","San Francisco, CA","CA","California",14893,"SMF","Sacramento, CA","CA","California","629",3,1,
1149.00,1609.00,2334.00,14893,"SMF","Sacramento, CA","CA","California",12266,"IAH","Houston, TX","TX","Texas","634",3,4,
1150.00,436.00,3069.00,15048,"SUX","Sioux City, IA","IA","Iowa",13930,"ORD","Chicago, IL","IL","Illinois","675",3,1,
1150.00,192.00,540.00,14570,"RNO","Reno, NV","NV","Nevada",14771,"SFO","San Francisco, CA","CA","California","694",3,1,
1150.00,787.00,1229.00,13204,"MCO","Orlando, FL","FL","Florida",10821,"BWI","Baltimore, MD","MD","Maryland","722",3,2,
1150.00,234.00,932.00,12819,"KTN","Ketchikan, AK","AK","Alaska",12523,"JNU","Juneau, AK","AK","Alaska","614",3,1,
